seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11004,0.38121003443187407,40.6431405544281,13,2.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.06210526315789474,19.587104558944702,13,2.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2593984962406015,9.9133460521698,13,2.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18932606155044798,58.40325164794922,13,2.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.16179775280898875,14.038312435150146,14,2.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.39838709677419354,50.457247495651245,14,2.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4220363994097393,40.98754358291626,14,2.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.05473684210526316,21.360419273376465,14,2.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3176691729323308,10.212891101837158,14,2.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18659914296844565,56.47623324394226,14,2.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15943661971830986,13.972198963165283,15,1.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.15220024222850223,51.4288067817688,15,1.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.37875061485489425,41.321921586990356,15,1.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.15578947368421053,19.941044807434082,15,1.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3921200750469043,11.391302347183228,15,1.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18036618620958317,57.63734769821167,15,1.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.14502529510961215,14.22183609008789,16,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.3342741935483871,50.788126945495605,16,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.26512543039842595,40.6654314994812,16,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,21.171293020248413,16,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.34709193245778613,10.788699626922607,16,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.11920529801324503,56.144349336624146,16,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.1580427446569179,14.815410375595093,17,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4241935483870968,50.59057831764221,17,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.382685686178062,40.84164214134216,17,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.06210526315789474,21.340795755386353,17,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2593984962406015,10.603200197219849,17,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1819244253992988,55.322139501571655,17,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.19382022471910113,13.329484701156616,18,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.12272910779168349,48.35560607910156,18,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4028529267092966,40.23004198074341,18,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,19.80167531967163,18,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3921200750469043,10.342512130737305,18,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1889365017530191,54.68750047683716,18,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.14952220348510398,13.988234519958496,19,0.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.233682514101531,49.75335121154785,19,0.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.2016724053123463,39.013782024383545,19,0.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,20.872523307800293,19,0.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.37523452157598497,10.659356117248535,19,0.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.13985196727697702,55.764323711395264,19,0.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.16123595505617977,14.405344724655151,20,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.41451612903225804,51.612282514572144,20,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
