seqName,SPS,time,iter,helice_mixte,vrac_mixte,enf_mixte,enf_propre,struct_propre,openGap,extendGap,helice_propre,struct_mixte
BB11009,0.3227016885553471,11.239652872085571,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.04272062956717257,13.92895245552063,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04246201791975068,57.692062854766846,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7443227767944336,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,43.007978439331055,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.26653225806451614,51.335710287094116,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.34226107597351,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.171610116958618,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,14.478450536727905,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04285157771717959,57.145999908447266,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7249274253845215,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.3807181505164781,41.395957231521606,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.3665322580645161,50.97388291358948,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,24.111821174621582,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.3302063789868668,11.159752607345581,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.71371078491211,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11010,0.045578496299181925,56.620466232299805,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7037615776062012,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,41.17398500442505,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11003,0.380241935483871,52.591291189193726,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.732690811157227,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.221307754516602,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.10842696629213483,14.963998317718506,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04207245812232178,57.080549001693726,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11001,0.6299376299376299,1.7647705078125,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.35317265125430397,40.95290803909302,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.2838709677419355,51.94956922531128,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.05052631578947368,21.21073579788208,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.248830080032349,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.807786464691162,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11010,0.050642773665757694,57.24046087265015,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7424030303955078,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11004,0.3428430890309887,41.482226610183716,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11003,0.2842741935483871,50.82056260108948,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,23.855897903442383,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.225724220275879,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.10842696629213483,14.88325023651123,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04207245812232178,57.22157907485962,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
