seqName,SPS,time,iter,enf_mixte,struct_mixte,vrac_mixte,helice_mixte,openGap,extendGap,enf_propre,vrac_propre,helice_propre
BB11009,0.3170731707317073,10.645393133163452,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
BB11010,0.2329567588624854,54.232264041900635,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
BB11001,0.8295218295218295,1.6413722038269043,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11002,0.13097245643620012,14.892614126205444,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11003,0.35846774193548386,49.411439180374146,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11004,0.5073746312684366,39.89509844779968,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11008,0.06526315789473684,19.557051181793213,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11009,0.36397748592870544,10.840837478637695,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11010,0.13478768991040124,57.92262530326843,14,0.0,0.6,1.2,3.9,19.0,2.0,1.0,1.0,4.0
BB11001,0.760914760914761,1.7616572380065918,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11002,0.14735658042744657,14.936760663986206,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11003,0.23579201934703747,50.56905007362366,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11004,0.37905604719764013,40.29722547531128,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11008,0.06842105263157895,19.884891986846924,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11009,0.3545966228893058,10.655319213867188,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11010,0.2391897156213479,55.63598847389221,15,0.0,1.8,2.3,4.2,19.0,2.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.6063048839569092,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11002,0.2270938729623384,13.185043096542358,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11003,0.4004032258064516,48.29246401786804,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11004,0.396458435809149,39.323630809783936,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11008,0.0,22.648401021957397,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11009,0.3227016885553471,10.52498459815979,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11010,0.181145305804441,54.005634784698486,16,0.0,0.0,2.7,4.1,19.0,2.0,1.0,1.0,4.0
BB11001,0.6915113871635611,1.6444017887115479,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11002,0.14285714285714285,14.280019283294678,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11003,0.2470777912132205,49.42745065689087,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11004,0.4832841691248771,40.442614793777466,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11008,0.14421052631578948,19.781590461730957,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11009,0.3714821763602251,10.727535009384155,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11010,0.1908843007401636,55.8275420665741,17,0.0,1.6,1.4,4.7,19.0,2.0,1.0,1.0,4.0
BB11001,0.7442827442827443,1.639399766921997,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
BB11002,0.13948256467941508,13.998233556747437,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
