seqName,SPS,time,iter,extendGap,struct_propre,openGap,vrac_mixte,struct_mixte,enf_mixte,helice_propre,enf_propre,helice_mixte
BB11002,0.1,14.672791004180908,7,2.9,0.0,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11008,0.0,22.731847286224365,8,2.9,2.8,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11003,0.021396851029471135,53.26169466972351,8,2.9,2.8,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11004,0.18986719134284308,43.24511694908142,8,2.9,2.8,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11010,0.02337358784573432,60.728440284729004,8,2.9,2.8,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11009,0.20676691729323307,11.458668947219849,8,2.9,2.8,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11002,0.027543563799887576,16.161643266677856,8,2.9,2.8,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11008,0.0,22.605977773666382,9,2.9,2.5,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11003,0.026645135244247074,52.93946027755737,9,2.9,2.5,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11004,0.20019675356615838,43.026299238204956,9,2.9,2.5,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11010,0.02337358784573432,59.73287224769592,9,2.9,2.5,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11009,0.20676691729323307,11.179219961166382,9,2.9,2.5,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11002,0.08121827411167512,16.346991539001465,9,2.9,2.5,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11008,0.008421052631578947,22.617273569107056,10,2.9,2.7,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11003,0.36129032258064514,54.5371572971344,10,2.9,2.7,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11004,0.13681102362204725,43.069318771362305,10,2.9,2.7,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11010,0.026100506427736658,59.302318811416626,10,2.9,2.7,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11009,0.34022556390977443,11.288118124008179,10,2.9,2.7,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11002,0.07195053400786959,16.027862310409546,10,2.9,2.7,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11008,0.0,22.699068069458008,11,2.9,0.2,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11003,0.12595882115462254,53.49367570877075,11,2.9,0.2,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11004,0.18445646827348747,42.13047981262207,11,2.9,0.2,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11010,0.008570315543435918,59.382272243499756,11,2.9,0.2,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11009,0.37523452157598497,11.398944854736328,11,2.9,0.2,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11002,0.11298482293423272,14.838146448135376,11,2.9,0.2,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11008,0.15578947368421053,21.436556577682495,12,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11003,0.3919354838709677,53.0601441860199,12,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11004,0.408062930186824,43.12858033180237,12,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11010,0.03428126217374367,59.62088370323181,12,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11009,0.0600375234521576,11.621118307113647,12,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11002,0.0893760539629005,14.656944036483765,12,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11008,0.0,22.689866304397583,13,2.9,3.0,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11003,0.026645135244247074,53.012574672698975,13,2.9,3.0,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11004,0.18888342351205115,43.1175491809845,13,2.9,3.0,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11010,0.02337358784573432,59.4887797832489,13,2.9,3.0,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11009,0.20676691729323307,11.100284099578857,13,2.9,3.0,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11002,0.05885650224215247,16.262810707092285,13,2.9,3.0,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11008,0.0,22.573978424072266,14,2.9,2.8,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11003,0.03794913201453371,52.48820352554321,14,2.9,2.8,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11004,0.18199704869650762,42.78965425491333,14,2.9,2.8,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11010,0.02337358784573432,59.37579822540283,14,2.9,2.8,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11009,0.2236842105263158,11.09850811958313,14,2.9,2.8,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11002,0.039910061832490164,15.854341745376587,14,2.9,2.8,14.3,0.0,0.0,0.0,2.2,0.0,0.0
BB11008,0.008421052631578947,22.4399094581604,15,2.9,1.6,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11003,0.43185483870967745,52.833853244781494,15,2.9,1.6,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11004,0.23118544023610427,42.70387101173401,15,2.9,1.6,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11010,0.04596805609661083,59.25402569770813,15,2.9,1.6,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11009,0.33771106941838647,11.056268692016602,15,2.9,1.6,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11002,0.09577464788732394,15.693170309066772,15,2.9,1.6,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11008,0.0,22.51331353187561,16,2.9,1.7,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11003,0.2599758162031439,53.356507539749146,16,2.9,1.7,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11004,0.20068863748155436,42.79657554626465,16,2.9,1.7,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11010,0.025710946630307752,59.467989444732666,16,2.9,1.7,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11009,0.40337711069418386,11.021963596343994,16,2.9,1.7,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11002,0.07791479820627803,15.390432357788086,16,2.9,1.7,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11008,0.0,22.417808532714844,17,2.9,1.7,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11003,0.4443548387096774,52.9801766872406,17,2.9,1.7,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11004,0.14953271028037382,42.330448389053345,17,2.9,1.7,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11010,0.02415270744059213,59.375261068344116,17,2.9,1.7,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11009,0.3921200750469043,11.069103479385376,17,2.9,1.7,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11002,0.051685393258426963,15.623158931732178,17,2.9,1.7,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11008,0.0,22.316221952438354,18,2.9,1.9,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11003,0.2543329302700524,53.17807364463806,18,2.9,1.9,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11004,0.19370698131760078,41.99879431724548,18,2.9,1.9,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11010,0.0218153486560187,59.431026220321655,18,2.9,1.9,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11009,0.40337711069418386,11.139740705490112,18,2.9,1.9,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11002,0.08038223721191681,15.360068559646606,18,2.9,1.9,14.3,0.0,0.0,0.0,2.4,0.0,0.0
BB11008,0.018947368421052633,22.326727390289307,19,2.9,0.4,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11003,0.37056451612903224,53.09230637550354,19,2.9,0.4,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11004,0.3952802359882006,42.954805850982666,19,2.9,0.4,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11010,0.03428126217374367,59.202131509780884,19,2.9,0.4,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11009,0.34709193245778613,11.524987697601318,19,2.9,0.4,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11002,0.08876404494382023,14.559696912765503,19,2.9,0.4,14.3,0.0,0.0,0.0,2.6,0.0,0.0
BB11008,0.008421052631578947,22.343662977218628,20,2.9,2.2,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11003,0.3536290322580645,52.702648401260376,20,2.9,2.2,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11004,0.27594687653713723,42.597994565963745,20,2.9,2.2,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11010,0.05414881184261784,58.92916560173035,20,2.9,2.2,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11009,0.3921200750469043,10.95295786857605,20,2.9,2.2,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11002,0.11555806087936867,15.883031368255615,20,2.9,2.2,14.3,0.0,0.0,0.0,1.1,0.0,0.0
BB11008,0.0,22.236977100372314,21,2.9,2.5,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11003,0.009689140088817117,52.544405460357666,21,2.9,2.5,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11004,0.20363994097393015,43.02593445777893,21,2.9,2.5,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11010,0.02337358784573432,59.92280983924866,21,2.9,2.5,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11009,0.20676691729323307,11.248931646347046,21,2.9,2.5,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11002,0.022046353872244205,16.54317355155945,21,2.9,2.5,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11008,0.0,23.84806776046753,22,2.9,2.0,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11003,0.021396851029471135,51.98252463340759,22,2.9,2.0,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11004,0.18150516478111164,45.350932598114014,22,2.9,2.0,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11010,0.0218153486560187,61.855658531188965,22,2.9,2.0,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11009,0.21804511278195488,11.462782144546509,22,2.9,2.0,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11002,0.08258426966292134,15.687297344207764,22,2.9,2.0,14.3,0.0,0.0,0.0,3.0,0.0,0.0
BB11008,0.15578947368421053,21.125627279281616,23,2.9,0.5,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11003,0.36733870967741933,51.7712619304657,23,2.9,0.5,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11004,0.3777668470241023,42.357179403305054,23,2.9,0.5,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11010,0.03467082197117258,57.95473051071167,23,2.9,0.5,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11009,0.3921200750469043,11.097774267196655,23,2.9,0.5,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11002,0.08759124087591241,14.290313243865967,23,2.9,0.5,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11008,0.04842105263157895,21.952570915222168,24,2.9,0.0,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11003,0.39919354838709675,52.486860275268555,24,2.9,0.0,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11004,0.40658800393313665,42.230161905288696,24,2.9,0.0,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11010,0.08998831320607713,58.2515652179718,24,2.9,0.0,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11009,0.34709193245778613,11.177888631820679,24,2.9,0.0,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11002,0.1,14.378390312194824,24,2.9,0.0,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11008,0.0,21.968940496444702,25,2.9,2.1,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11003,0.4181451612903226,52.13028049468994,25,2.9,2.1,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11004,0.19626168224299065,41.88258504867554,25,2.9,2.1,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11010,0.014803272302298403,58.89990973472595,25,2.9,2.1,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11009,0.40337711069418386,10.802065134048462,25,2.9,2.1,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11002,0.02249718785151856,15.51883316040039,25,2.9,2.1,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11008,0.008421052631578947,21.98817205429077,26,2.9,0.4,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11003,0.40403225806451615,51.921509742736816,26,2.9,0.4,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11004,0.2690605017215937,41.88868260383606,26,2.9,0.4,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11010,0.03506038176860148,58.174867391586304,26,2.9,0.4,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11009,0.3921200750469043,11.154324293136597,26,2.9,0.4,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11002,0.08263069139966273,14.335828304290771,26,2.9,0.4,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11008,0.15578947368421053,20.82255244255066,27,2.9,0.5,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11003,0.4157258064516129,51.68551778793335,27,2.9,0.5,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11004,0.3893805309734513,42.05813813209534,27,2.9,0.5,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11010,0.07440592130892092,58.13827466964722,27,2.9,0.5,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11009,0.36585365853658536,11.686310768127441,27,2.9,0.5,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11002,0.09769792251544077,14.345460891723633,27,2.9,0.5,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11008,0.0,22.32099986076355,28,2.9,1.2,14.3,0.0,0.0,0.0,2.8,0.0,0.0
BB11003,0.4157258064516129,52.04649782180786,28,2.9,1.2,14.3,0.0,0.0,0.0,2.8,0.0,0.0
BB11004,0.24249877029021152,41.71445560455322,28,2.9,1.2,14.3,0.0,0.0,0.0,2.8,0.0,0.0
BB11010,0.0218153486560187,61.51412558555603,28,2.9,1.2,14.3,0.0,0.0,0.0,2.8,0.0,0.0
BB11009,0.3921200750469043,11.145322561264038,28,2.9,1.2,14.3,0.0,0.0,0.0,2.8,0.0,0.0
BB11002,0.10985915492957747,15.322576761245728,28,2.9,1.2,14.3,0.0,0.0,0.0,2.8,0.0,0.0
BB11008,0.008421052631578947,22.363099813461304,29,2.9,1.7,14.3,0.0,0.0,0.0,1.0,0.0,0.0
BB11003,0.4165322580645161,52.634397983551025,29,2.9,1.7,14.3,0.0,0.0,0.0,1.0,0.0,0.0
BB11004,0.2720118052139695,43.67260813713074,29,2.9,1.7,14.3,0.0,0.0,0.0,1.0,0.0,0.0
BB11010,0.044799376704324115,59.290091037750244,29,2.9,1.7,14.3,0.0,0.0,0.0,1.0,0.0,0.0
BB11009,0.33771106941838647,10.955095291137695,29,2.9,1.7,14.3,0.0,0.0,0.0,1.0,0.0,0.0
BB11002,0.0923943661971831,15.410935878753662,29,2.9,1.7,14.3,0.0,0.0,0.0,1.0,0.0,0.0
BB11008,0.0,22.539618968963623,30,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11003,0.24667472793228537,52.15914964675903,30,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11004,0.19380226266601083,41.2978241443634,30,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11010,0.02103622906116089,58.43369698524475,30,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11009,0.40337711069418386,10.607351779937744,30,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11002,0.08038223721191681,14.771844387054443,30,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11008,0.0,21.791983127593994,31,2.9,2.8,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11003,0.029874848607186113,51.616244316101074,31,2.9,2.8,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11004,0.21249385145105756,43.67544198036194,31,2.9,2.8,14.3,0.0,0.0,0.0,2.7,0.0,0.0
